source_image,entry_type,volume_or_year_greek,volume_or_year_english,subsection_greek,subsection_english,author_greek,author_english,normalized_author,editor_translator,title_greek,title_english,page_numbers,lecture_count,disciplines,needs_review,primary_disciplines,processed,row_id,insufficient_information,aboutness_topic,period_covered,place_covered,genre,discipline,model,input_tokens,output_tokens
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Σ. Καραθεοδωρῆ.,S. Karatheodori.,S. Karatheodori,,Τί τὸ Ἀλφάβητον.,What is the Alphabet.,"σ. 1, 59, 157, 244",,"Linguistics, Philology",False,Philology,True,0,False,the nature and origin of the alphabet,none,none,survey_or_overview,"Linguistics, Philology",claude-sonnet-5,2097,185
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Σ. Μαυρογένους.,S. Mavrogenous.,Sp. Mavrogenous,,Ὁμοιότητες καὶ διαφοραὶ ἐν ἑκατέρῳ τῶν φύλων ὑπὸ φυσιολογικὴν καὶ ψυχολογικὴν ἔποψιν.,Similarities and differences in each of the sexes from a physiological and psychological point of view.,σ. 13,,"Medicine, Psychology, Physiology, Gender Studies, Biology",False,"Gender Studies, Medicine, Natural & Exact Science, Psychology, Sociology",True,1,False,physiological and psychological similarities and differences between the sexes,none,none,original_research,"Physiology, Psychology, Gender Studies",claude-sonnet-5,2183,196
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Ἀ. Δαλλαπόρτα.,A. Dallaporta.,A. Dallaporta,,Εἰσαγωγὴ τοῦ περὶ νεοελληνικῆς γλώσης ζητήματος.,Introduction to the question of the modern Greek language.,σ. 26,,"Linguistics, Philology",False,Philology,True,2,False,the modern Greek language question (γλωσσικό ζήτημα),contemporary,Greece,survey_or_overview,"Linguistics, Philology",claude-sonnet-5,2129,202
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Ἡ. Βασιάδου.,I. Vasiadou.,Ir. Vasiadis,,Περὶ τῆς ἀρχῆς τῶν γλωσσῶν.,On the origin of languages.,σ. 27,,"Linguistics, Philology, Anthropology",False,"Anthropology, Philology",True,3,False,the origin and development of human languages,none,none,original_research,"Linguistics, Philology",claude-sonnet-5,2110,179
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Μ. Βλάδου.,M. Vladou.,M. Vladou,,Περὶ τῆς διὰ τῶν δύο ὤτων ἀκροάσεως.,On hearing through two ears.,σ. 32,,"Medicine, Physiology, Biology, Science",False,"Medicine, Natural & Exact Science",True,4,False,binaural hearing and auditory perception with two ears,none,none,original_research,"Physiology, Neuroscience",claude-sonnet-5,2112,187
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Μ. Βλάδου.,M. Vladou.,M. Vladou,,Περὶ τῆς διὰ τῶν δύο ὀφθαλμῶν ὁράσεως.,On seeing through two eyes.,σ. 33,,"Medicine, Ophthalmology, Physiology, Science",False,"Medicine, Natural & Exact Science",True,5,False,binocular vision - how seeing with two eyes works,none,none,original_research,"Physiology, Ophthalmology",claude-sonnet-5,2117,189
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Σ. Καραθεοδωρῆ.,S. Karatheodori.,S. Karatheodori,,Περὶ ἠθικοῦ χαρακτῆρος.,On moral character.,σ. 49,,"Philosophy, Psychology, Ethics",False,"Philosophy, Psychology",True,6,False,the nature and formation of moral character,none,none,original_research,"Ethics, Philosophy",claude-sonnet-5,2099,181
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Ἐ. Ἰωαννίδου.,E. Ioannidou.,Emm. Ioannidou,,Κριτικαί τινες ἐπιστασίαι εἰς τὸ «Περὶ τοῦ Πατριαρχικοῦ θρόνου κτλ.» πόνημα τοῦ Κ. Γ. Χρυσοβέργη.,"Some critical observations on the work ""On the Patriarchal throne etc."" by K. G. Chrysovergis.","σ. 52, 97",,"Theology, History, Literary Criticism, Religion, Philology",False,"History, Literature, Philology, Religion",True,7,False,a critical review of Chrysovergis's work on the Patriarchal throne,ottoman,Constantinople,review,"History, Religion",claude-sonnet-5,2199,195
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Ἡ. Βασιάδου.,I. Vasiadou.,Ir. Vasiadis,,Ἰνδοπελασγικὰ Μελετήματα.,Indo-Pelasgian Studies.,σ. 67,,"Linguistics, History, Archaeology, Philology, Ethnology, Classics, Prehistory",False,"Anthropology, Archaeology, Classics, History, Philology",True,8,False,linguistic/historical connections between Indo-European and Pelasgian peoples,antiquity,none,original_research,"Philology, Linguistics, History",claude-sonnet-5,2109,199
image_0219_right.png,Journal Article,ΤΟΜΟΣ Α' (1861),Volume A (1861),,,Γ. Σοφοκλέους.,G. Sofokleous.,G. Sofokleous,,Πόθεν πηγάζει ἡ περὶ τὴν ἑλληνικὴν παιδείαν γενικὴ ὀλιγωρία ἡμῶν.,Whence springs our general neglect of Greek education.,"σ. 107, 171",,"Education, Sociology",False,"Education, Sociology",True,9,False,causes of Greeks' widespread neglect of classical/Greek education,contemporary,Greece,original_research,"Education, History of Education",claude-sonnet-5,2149,195
